,Players,Market_values,Age
0,Kylian Mbappé,€200.00m ,21
1,Raheem Sterling,€160.00m ,25
2,Neymar,€160.00m ,28
3,Sadio Mané,€150.00m ,27
4,Mohamed Salah,€150.00m ,27
5,Harry Kane,€150.00m ,26
6,Kevin De Bruyne,€150.00m ,28
7,Lionel Messi,€140.00m ,32
8,Jadon Sancho,€120.00m ,19
9,Antoine Griezmann,€120.00m ,28
10,Trent Alexander-Arnold,€110.00m ,21
11,Bernardo Silva,€100.00m ,25
12,N'Golo Kanté,€100.00m ,28
13,Leroy Sané,€100.00m ,24
14,Virgil van Dijk,€100.00m ,28
15,Paul Pogba,€100.00m ,26
16,Jan Oblak,€100.00m ,27
17,Eden Hazard,€100.00m ,29
18,João Félix,€90.00m ,20
19,Frenkie de Jong,€90.00m ,22
20,Kai Havertz,€90.00m ,20
21,Paulo Dybala,€90.00m ,26
22,Serge Gnabry,€90.00m ,24
23,Saúl Ñíguez,€90.00m ,25
24,Roberto Firmino,€90.00m ,28
